Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Omni 1:2	33.01	.	.	.	.	.	.	.	.
Omni 1:2	33.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	34	But	But	But	But	But	But	But	But
Omni 1:2	34.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	35	behold	behold	behold	behold	behold	behold	behold	behold
Omni 1:2	35.01	,	,	,	,	,	,	,	,
Omni 1:2	35.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	36	I	I	I	I	I	I	I	I
Omni 1:2	36.01	,	,	,	,	,	∅	∅	∅
Omni 1:2	36.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	37	of	of	of	of	of	of	of	of
Omni 1:2	37.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	38	myself	myself	myself	myself	myself	myself	myself	myself
Omni 1:2	38.01	,	,	,	,	,	∅	∅	∅
Omni 1:2	38.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	39	am	am	am	am	am	am	am	am
Omni 1:2	39.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	40	a	a	a	a	a	a	a	a
Omni 1:2	40.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	41	wicked	wicked	wicked	wicked	wicked	wicked	wicked	wicked
Omni 1:2	41.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	42	man	man	man	man	man	man	man	man
Omni 1:2	42.01	;	,	,	,	,	,	,	,
Omni 1:2	42.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	43	and	and	and	and	and	and	and	and
Omni 1:2	43.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	44	I	I	I	I	I	I	I	I
Omni 1:2	44.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	45	have	have	have	have	have	have	have	have
Omni 1:2	45.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	46	not	not	not	not	not	not	not	not
Omni 1:2	46.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	47	kept	kept	kept	kept	kept	kept	kept	kept
Omni 1:2	47.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	48	the	the	the	the	the	the	the	the
Omni 1:2	48.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	49	statutes	statutes	statutes	statutes	statutes	statutes	statutes	statutes
Omni 1:2	49.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	50	and	and	and	and	and	and	and	and
Omni 1:2	50.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	51	the	the	the	the	the	the	the	the
Omni 1:2	51.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	52	commandments	commandments	commandments	commandments	commandments	commandments	commandments	commandments
Omni 1:2	52.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	53	of	of	of	of	of	of	of	of
Omni 1:2	53.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	54	the	the	the	the	the	the	the	the
Omni 1:2	54.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	55	Lord	Lord	Lord	Lord	Lord	Lord	Lord	Lord
Omni 1:2	55.01	,	,	,	,	,	∅	∅	∅
Omni 1:2	55.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	56	as	as	as	as	as	as	as	as
Omni 1:2	56.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	57	I	I	I	I	I	I	I	I
Omni 1:2	57.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	58	ought	ought	ought	ought	ought	ought	ought	ought
Omni 1:2	58.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	59	to	to	to	to	to	to	to	to
Omni 1:2	59.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	60	have	have	have	have	have	have	have	have
Omni 1:2	60.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:2	61	done	done	done	done	done	done	done	done
Omni 1:2	61.01	.	.	.	.	.	.	.	.
Omni 1:3	1	And	And	And	And	And	And	And	And
Omni 1:3	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	2	it	it	it	it	it	it	it	it
Omni 1:3	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	3	came	came	came	came	came	came	came	came
Omni 1:3	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	4	to	to	to	to	to	to	to	to
Omni 1:3	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	5	pass	pass	pass	pass	pass	pass	pass	pass
Omni 1:3	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	6	that	that	that	that	that	that	that	that
Omni 1:3	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	7	two	two	two	two	two	two	two	two
Omni 1:3	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	8	hundred	hundred	hundred	hundred	hundred	hundred	hundred	hundred
Omni 1:3	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	9	and	and	and	and	and	and	and	and
Omni 1:3	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	10	seventy	seventy	seventy	seventy	seventy	seventy	seventy	seventy
Omni 1:3	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	11	and	and	and	and	and	and	and	and
Omni 1:3	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	12	six	six	six	six	six	six	six	six
Omni 1:3	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	13	years	years	years	years	years	years	years	years
Omni 1:3	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	14	had	had	had	had	had	had	had	had
Omni 1:3	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	15	passed	passed	passed	passed	passed	passed	passed	passed
Omni 1:3	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	16	away	away	away	away	away	away	away	away
Omni 1:3	16.01	,	,	,	,	,	,	,	,
Omni 1:3	16.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	17	and	and	and	and	and	and	and	and
Omni 1:3	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	18	we	we	we	we	we	we	we	we
Omni 1:3	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	19	had	had	had	had	had	had	had	had
Omni 1:3	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	20	many	many	many	many	many	many	many	many
Omni 1:3	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	21	seasons	seasons	seasons	seasons	seasons	seasons	seasons	seasons
Omni 1:3	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Omni 1:3	22	of	of	of	of	of	of	of	of
Omni 1:3	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
