Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Ether 1:3	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	3	I	I	I	I	I	I	I	I
Ether 1:3	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	4	suppose	suppose	suppose	suppose	suppose	suppose	suppose	suppose
Ether 1:3	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	5	that	that	that	that	that	that	that	that
Ether 1:3	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	6	the	the	the	the	the	the	the	the
Ether 1:3	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	7	first	first	first	first	first	first	first	first
Ether 1:3	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	8	part	part	part	part	part	part	part	part
Ether 1:3	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	9	of	of	of	of	of	of	of	of
Ether 1:3	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	10	this	this	this	this	this	this	this	this
Ether 1:3	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	11	record	record	record	record	record	record	record	record
Ether 1:3	11.01	,	,	,	,	,	,	,	,
Ether 1:3	11.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	12	which	which	which	which	which	which	which	which
Ether 1:3	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	13	speaketh	speaks	speaks	speaks	speaks	speaks	speaks	speaks
Ether 1:3	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	14	concerning	concerning	concerning	concerning	concerning	concerning	concerning	concerning
Ether 1:3	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	15	the	the	the	the	the	the	the	the
Ether 1:3	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	16	creation	creation	creation	creation	creation	creation	creation	creation
Ether 1:3	16.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	17	of	of	of	of	of	of	of	of
Ether 1:3	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	18	the	the	the	the	the	the	the	the
Ether 1:3	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	19	world	world	world	world	world	world	world	world
Ether 1:3	19.01	,	,	,	,	,	,	,	,
Ether 1:3	19.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	20	and	and	and	and	and	and	and	and
Ether 1:3	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	21	also	also	also	also	also	also	also	also
Ether 1:3	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	22	of	of	of	of	of	of	of	of
Ether 1:3	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	23	Adam	Adam	Adam	Adam	Adam	Adam	Adam	Adam
Ether 1:3	23.01	,	,	,	,	,	,	,	,
Ether 1:3	23.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	24	and	and	and	and	and	and	and	and
Ether 1:3	24.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:3	25	an	an	an	an	an	an	an	an
