Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Jacob 1:2	46	people	people	people	people	people	people	people	people
Jacob 1:2	46.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	47	of	of	of	of	of	of	of	of
Jacob 1:2	47.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:2	48	Nephi	Nephi	Nephi	Nephi	Nephi	Nephi	Nephi	Nephi
Jacob 1:2	48.01	.	.	.	.	.	.	.	.
Jacob 1:3	1	For	For	For	For	For	For	For	For
Jacob 1:3	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	2	he	he	he	he	he	he	he	he
Jacob 1:3	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	3	said	said	said	said	said	said	said	said
Jacob 1:3	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	4	that	that	that	that	that	that	that	that
Jacob 1:3	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	5	the	the	the	the	the	the	the	the
Jacob 1:3	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	6	history	history	history	history	history	history	history	history
Jacob 1:3	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	7	of	of	of	of	of	of	of	of
Jacob 1:3	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	8	his	his	his	his	his	his	his	his
Jacob 1:3	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	9	people	people	people	peeple	people	people	people	people
Jacob 1:3	9.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	10	should	should	should	should	should	should	should	should
Jacob 1:3	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	11	be	be	be	be	be	be	be	be
Jacob 1:3	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	12	engraven	engraven	engraven	engraven	engraven	engraven	engraven	engraven
Jacob 1:3	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	13	upon	upon	upon	upon	upon	upon	upon	upon
Jacob 1:3	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	14	his	his	his	his	his	his	his	his
Jacob 1:3	14.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	15	other	other	other	other	other	other	other	other
Jacob 1:3	15.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	16	plates	plates	plates	plates	plates	plates	plates	plates
Jacob 1:3	16.01	,	,	,	,	,	,	,	,
Jacob 1:3	16.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	17	and	and	and	and	and	and	and	and
Jacob 1:3	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	18	that	that	that	that	that	that	that	that
Jacob 1:3	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	19	I	I	I	I	I	I	I	I
Jacob 1:3	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	20	should	should	should	should	should	should	should	should
Jacob 1:3	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	21	preserve	preserve	preserve	preserve	preserve	preserve	preserve	preserve
Jacob 1:3	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	22	these	these	these	these	these	these	these	these
Jacob 1:3	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	23	plates	plates	plates	plates	plates	plates	plates	plates
Jacob 1:3	23.01	,	,	,	,	∅	∅	∅	∅
Jacob 1:3	23.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	24	and	and	and	and	and	and	and	and
Jacob 1:3	24.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	25	hand	hand	hand	hand	hand	hand	hand	hand
Jacob 1:3	25.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	26	them	them	them	them	them	them	them	them
Jacob 1:3	26.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	27	down	down	down	down	down	down	down	down
Jacob 1:3	27.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	28	unto	unto	unto	unto	unto	unto	unto	unto
Jacob 1:3	28.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	29	my	my	my	my	my	my	my	my
Jacob 1:3	29.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	30	seed	seed	seed	seed	seed	seed	seed	seed
Jacob 1:3	30.01	,	,	,	,	,	,	,	,
Jacob 1:3	30.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	31	from	from	from	from	from	from	from	from
Jacob 1:3	31.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	32	generation	generation	generation	generation	generation	generation	generation	generation
Jacob 1:3	32.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	33	to	to	to	to	to	to	to	to
Jacob 1:3	33.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:3	34	generation	generation	generation	generation	generation	generation	generation	generation
Jacob 1:3	34.01	.	.	.	.	.	.	.	.
Jacob 1:4	1	And	And	And	And	And	And	And	And
Jacob 1:4	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	2	if	if	if	if	if	if	if	if
Jacob 1:4	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	3	there	there	there	there	there	there	there	there
Jacob 1:4	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Jacob 1:4	4	were	were	were	were	were	were	were	were
Jacob 1:4	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
